room_type,neighbourhood,minimum_nights,calculated_host_listings_count,availability_365,price
0,19,2,2,0,95
0,12,2,3,42,69
0,6,7,1,0,42
1,19,3,1,0,320
0,6,2,1,0,62
1,25,6,1,0,90
1,19,1,1,0,190
0,7,2,2,0,155
0,79,1,1,8,49
0,30,1,1,0,60
0,12,2,1,0,60
1,6,3,2,0,120
1,19,30,1,314,139
1,68,2,1,65,350
1,19,1,1,157,290
0,79,7,1,0,45
1,7,30,31,339,125
1,117,35,1,0,80
1,12,6,1,4,149
2,73,30,3,84,37
1,6,2,1,268,149
0,8,2,1,6,112
1,16,3,1,0,175
2,73,3,10,281,40
1,50,5,1,1,221
1,12,3,1,359,300
0,46,2,2,90,75
1,43,2,1,0,195
1,6,2,1,6,120
1,8,1,1,0,260
0,23,2,1,0,150
1,28,31,33,326,287
1,12,3,3,78,172
0,21,4,2,0,47
0,8,5,1,0,89
1,12,7,1,43,160
0,13,30,25,305,48
0,2,2,1,364,205
1,19,2,1,0,300
1,3,10,1,0,115
1,11,5,1,365,700
1,28,3,1,0,130
0,28,3,1,131,42
0,27,3,3,276,80
1,12,10,1,0,78
1,6,30,2,111,100
0,2,7,1,0,120
0,12,2,2,5,55
1,20,2,1,229,225
0,12,5,1,43,100
1,8,30,232,218,244
0,19,26,3,129,75
1,63,1,1,282,99
0,83,3,1,59,70
1,52,4,1,259,200
1,19,3,1,99,150
0,10,1,4,24,89
1,28,2,1,363,225
0,32,1,2,0,120
1,56,7,1,3,150
1,15,4,2,0,105
1,8,1,1,0,250
1,14,3,1,323,275
0,95,1,1,0,100
0,52,1,1,0,100
1,7,5,1,228,200
1,12,3,1,0,160
0,21,2,1,3,90
1,19,365,5,305,120
1,126,4,2,157,200
0,2,5,1,119,45
0,14,30,1,270,999
0,21,2,3,280,125
0,6,3,1,0,60
1,24,2,1,20,120
0,15,1,1,66,41
1,19,30,49,364,285
2,160,4,7,365,30
1,8,1,1,0,125
0,13,14,1,128,70
1,5,3,3,294,300
0,84,1,3,67,85
1,77,3,1,11,349
0,63,2,3,364,125
1,43,30,1,310,300
0,7,3,1,216,99
1,7,2,1,9,250
0,7,7,47,348,75
1,39,30,1,213,100
1,93,2,1,73,75
1,12,8,1,0,95
0,44,2,1,104,65
0,2,3,3,281,110
1,38,3,1,0,158
1,55,7,1,326,99
1,49,3,1,299,110
0,25,1,6,356,120
0,116,1,3,364,150
1,1,1,1,0,175
0,13,2,2,0,65
0,56,2,2,357,100
1,7,9,1,12,198
0,21,5,4,325,59
0,1,1,1,0,90
0,1,1,5,287,100
1,10,1,1,1,100
0,2,2,1,65,50
0,57,2,1,47,48
0,21,1,1,0,60
0,14,1,20,360,159
1,21,30,2,365,155
0,8,2,1,333,85
1,8,1,1,0,75
0,12,2,1,0,78
1,20,5,1,0,225
1,7,3,1,2,180
0,4,1,1,0,50
1,8,30,232,156,481
0,45,2,1,202,70
1,15,3,1,90,180
0,24,20,1,35,65
0,7,1,2,176,99
0,28,1,1,0,75
1,10,2,1,1,260
1,3,12,1,13,114
1,70,3,1,94,60
1,63,1,1,0,100
0,162,1,2,337,36
1,8,6,1,0,230
1,19,2,1,0,250
1,9,2,1,0,175
0,20,20,3,342,59
0,71,1,9,299,100
0,54,3,2,0,39
0,6,2,2,0,55
1,8,30,15,317,136
0,18,3,8,282,90
1,4,2,1,19,200
1,7,5,1,0,140
0,123,7,1,45,125
0,30,2,2,52,50
1,23,30,9,200,170
1,1,1,17,234,153
1,9,3,1,68,135
1,83,1,1,125,86
0,12,1,1,0,95
0,21,5,1,250,40
1,23,4,1,65,325
0,19,1,4,94,68
1,9,1,1,14,150
0,37,1,1,299,90
0,30,1,1,5,90
1,1,4,1,0,239
0,12,1,3,365,100
1,2,1,1,0,75
0,19,1,1,67,115
2,39,1,3,145,30
0,24,2,2,89,69
0,19,7,1,144,65
1,43,29,327,342,165
1,12,4,1,9,107
1,28,2,1,0,150
1,7,30,49,348,225
1,79,1,5,133,172
1,7,2,1,317,199
1,14,30,2,0,154
0,25,2,1,356,375
1,19,5,1,0,117
1,63,1,1,0,123
0,60,7,1,0,50
1,12,7,1,6,285
0,43,1,1,0,100
2,15,2,3,167,25
1,8,3,1,6,299
0,54,2,3,61,175
0,46,1,3,139,33
1,195,14,1,23,1250
1,49,11,2,212,47
1,28,5,1,0,100
0,2,1,1,0,39
0,135,1,1,6,43
1,7,4,1,0,275
1,32,2,1,0,300
1,19,4,1,0,150
1,15,2,1,16,88
1,49,28,1,313,75
0,79,1,1,74,44
0,142,2,1,364,125
0,103,1,3,342,70
0,18,1,1,0,34
1,6,3,4,308,80
1,54,1,1,0,57
1,7,1,1,133,305
1,13,3,1,0,150
1,32,3,1,0,200
1,14,3,3,140,299
0,10,1,1,0,65
1,7,4,1,0,200
0,37,2,1,0,75
0,21,2,2,0,50
0,22,5,5,67,40
0,37,1,4,317,73
1,43,1,1,16,200
0,85,1,1,365,48
1,28,30,33,346,225
0,12,2,1,13,80
0,30,3,2,0,60
1,28,1,2,351,121
0,14,3,1,111,135
1,21,45,1,21,73
0,13,2,1,0,70
1,54,2,1,264,49
0,6,3,2,0,60
1,40,3,2,0,245
1,43,29,1,283,375
0,54,2,3,357,38
1,53,1,1,362,229
1,1,28,49,257,714
0,6,1,1,0,75
1,15,3,1,343,165
0,6,3,7,109,100
1,8,30,9,266,150
0,55,1,1,88,60
2,21,1,4,133,28
0,56,15,2,0,55
1,2,1,3,246,129
0,99,5,2,179,35
0,18,1,1,0,50
1,12,5,1,365,350
1,21,4,1,258,150
1,28,4,2,290,219
0,12,3,1,0,67
1,28,25,1,161,130
0,7,1,2,316,150
0,18,3,1,0,200
1,24,3,3,19,80
0,13,3,2,305,130
0,59,3,4,63,79
1,5,1,1,0,160
0,20,1,1,0,75
0,2,3,1,189,78
1,20,3,1,0,125
1,2,1,1,161,290
1,16,5,1,0,120
1,43,30,96,336,160
0,23,5,1,0,82
0,37,2,1,51,60
1,14,2,1,0,250
1,64,2,1,86,325
0,70,2,2,27,32
0,14,2,2,0,210
0,110,2,7,286,40
1,4,30,1,0,200
1,20,3,1,178,139
1,20,1,1,188,229
0,10,1,1,269,89
0,21,3,1,0,60
1,2,1,4,78,170
0,15,20,1,0,41
1,30,4,1,0,95
0,79,31,1,0,50
1,20,15,1,17,160
1,43,2,327,325,196
0,2,1,4,348,70
1,121,2,2,117,60
0,121,7,1,66,50
1,19,3,1,0,83
2,6,3,34,361,36
1,7,30,52,342,115
1,68,5,2,0,120
0,81,29,5,1,40
0,8,1,1,12,68
0,4,2,5,22,80
1,6,1,3,0,150
1,77,2,1,0,180
0,8,1,3,38,67
0,20,1,2,163,100
0,24,4,3,43,69
0,9,25,5,365,65
0,54,3,1,27,30
1,8,1,3,125,125
1,21,3,1,46,200
1,19,1,1,188,180
1,18,14,1,21,67
1,85,3,3,348,250
2,30,1,1,188,50
1,12,30,1,363,275
1,68,30,87,310,225
0,52,5,1,137,90
1,20,3,1,313,496
0,21,2,8,344,65
1,19,4,1,0,194
0,75,3,4,290,65
0,12,1,1,0,80
1,37,2,3,119,65
0,14,1,2,0,77
1,2,2,1,9,100
1,68,10,1,64,120
1,19,2,1,39,150
1,8,3,1,198,140
1,127,1,1,362,85
0,81,2,1,222,120
0,7,1,2,8,49
1,14,1,1,0,175
0,59,2,2,220,80
1,71,30,4,0,165
0,29,1,13,290,85
1,22,6,3,339,85
0,15,4,1,18,56
1,2,1,1,8,140
1,68,3,2,19,130
0,19,2,2,32,130
0,52,2,1,0,115
1,5,1,2,365,400
1,20,2,1,81,171
1,28,2,1,36,150
0,134,2,1,263,53
0,2,1,1,0,79
1,2,3,1,0,112
1,20,2,1,341,300
0,6,1,4,0,65
1,19,3,1,0,199
1,28,30,2,365,200
0,6,1,1,0,30
1,15,1,2,274,200
1,43,2,1,0,127
0,21,5,3,236,42
0,15,1,1,0,60
1,19,2,1,55,103
0,49,1,5,310,37
0,1,2,1,0,150
0,12,20,1,333,27
1,16,3,1,338,300
1,208,30,1,0,55
0,7,1,6,165,110
1,21,2,1,0,110
0,60,2,1,0,99
1,6,2,1,0,60
0,83,2,6,75,40
1,56,5,5,0,150
0,52,3,2,15,115
0,30,1,2,299,99
1,43,2,327,298,188
1,20,30,52,365,129
2,14,27,1,365,337
0,4,3,1,0,73
0,23,1,3,364,95
0,2,1,2,90,43
1,2,2,1,14,130
0,9,25,1,0,80
1,62,3,1,131,200
1,7,3,1,161,400
0,6,1,4,311,165
1,13,3,1,0,150
1,1,30,96,0,145
0,23,1,3,0,85
2,12,1,1,0,42
0,12,2,3,310,90
0,19,4,1,0,110
0,6,1,2,267,150
0,2,1,1,158,75
1,4,3,1,4,50
1,19,2,1,38,250
1,1,30,121,201,335
1,7,29,327,281,185
0,12,2,1,6,65
1,4,3,1,242,169
0,13,30,25,340,48
0,21,3,1,84,100
1,6,30,6,220,58
0,2,2,3,342,86
1,10,30,11,282,200
1,28,1,7,342,299
0,11,1,1,0,300
1,7,3,1,96,250
1,5,2,1,0,200
0,2,30,1,365,200
0,72,1,1,46,55
1,16,5,1,23,168
1,24,6,1,12,175
1,25,1,10,357,299
1,29,3,1,0,95
0,7,1,1,0,140
0,8,3,1,90,100
0,20,1,2,0,65
1,1,5,1,0,303
1,31,2,1,137,110
0,45,5,1,24,50
1,28,2,1,0,160
0,6,30,1,0,55
1,4,2,1,199,125
0,8,1,4,270,179
1,37,1,6,257,259
0,2,2,1,0,69
1,5,30,23,365,200
0,21,4,1,2,60
1,29,2,1,0,150
0,2,2,1,361,70
1,8,4,1,0,225
0,31,30,103,246,33
0,12,2,1,0,48
1,1,4,1,37,240
1,6,5,1,0,80
1,24,2,2,0,131
0,54,4,1,82,55
0,63,2,2,188,40
0,15,4,4,129,55
0,2,2,1,49,75
1,12,3,1,0,116
1,63,5,1,53,250
0,7,30,4,180,61
1,29,2,1,279,136
0,8,4,2,63,175
1,25,3,1,0,155
2,23,14,28,320,35
1,155,1,1,339,85
1,12,3,1,272,105
2,5,2,1,220,800
0,2,1,1,0,110
1,8,7,1,0,169
0,23,1,1,0,97
1,1,20,2,315,250
1,20,30,1,312,128
0,186,1,1,358,80
0,21,1,3,87,56
0,12,2,4,281,50
0,141,3,1,76,187
1,126,3,1,303,120
0,21,1,8,177,60
0,13,2,1,327,159
1,6,1,2,307,105
0,6,3,1,69,90
0,21,17,2,0,37
1,7,30,65,365,450
1,23,3,1,1,180
0,85,1,5,359,59
0,8,2,4,219,98
1,25,1,1,6,120
1,17,10,2,49,140
1,8,2,1,0,198
0,21,5,1,0,32
0,37,2,6,361,54
1,8,1,1,0,180
0,21,1,3,168,70
1,12,29,7,0,120
0,70,30,2,364,55
0,14,2,1,66,119
1,3,15,1,0,150
1,64,2,1,324,176
1,12,3,3,7,750
1,15,1,1,0,60
1,19,2,3,257,99
1,4,1,1,144,145
1,5,1,1,0,2000
0,24,2,1,0,100
0,142,1,1,363,150
1,19,2,1,270,221
0,12,2,2,64,190
1,24,12,1,32,53
0,12,21,1,0,45
0,16,2,1,0,60
1,20,10,1,83,210
0,19,2,2,0,275
1,24,5,1,0,100
0,21,1,4,55,68
1,1,30,1,342,175
0,6,1,1,188,53
0,7,1,1,365,250
1,147,2,1,1,70
1,16,5,1,38,145
0,162,1,1,179,70
0,12,2,1,0,88
1,36,1,2,146,145
1,25,7,1,0,90
1,33,7,1,0,180
1,38,2,1,60,125
1,22,5,1,0,59
1,100,5,3,90,125
0,56,2,1,0,150
1,124,3,1,32,185
0,1,2,1,190,105
0,12,2,2,0,72
0,2,1,4,132,60
1,4,2,1,272,140
0,20,5,1,0,55
1,30,1,4,318,359
1,1,2,1,227,201
0,20,2,1,20,65
1,97,2,2,0,245
1,6,3,2,69,125
1,8,2,1,212,150
0,63,1,2,87,100
0,46,2,1,180,60
0,44,2,1,190,45
1,12,10,3,284,168
0,56,2,2,177,60
1,6,5,1,0,150
1,23,1,1,0,80
0,28,2,1,107,79
0,24,28,3,297,65
0,2,5,1,0,75
1,152,1,1,162,150
1,61,2,2,27,110
2,21,1,1,0,95
1,7,2,1,230,125
1,116,2,1,0,100
1,28,30,65,365,285
1,6,2,1,87,300
0,12,2,2,62,75
0,56,7,1,0,35
0,6,15,11,354,40
1,4,1,3,0,186
0,9,1,2,0,69
0,56,1,1,95,60
0,3,60,1,0,65
0,23,2,4,67,90
0,15,3,2,0,45
2,117,2,1,0,26
0,76,2,4,89,79
1,2,3,1,47,88
1,27,1,1,158,215
1,8,10,2,0,110
0,14,1,1,0,175
0,6,2,1,365,250
0,2,3,2,310,86
0,21,2,1,19,65
0,1,30,1,125,60
1,12,3,1,2,130
1,2,2,2,186,140
1,6,1,1,362,227
1,19,7,1,153,225
0,21,20,2,365,43
0,30,1,3,227,45
1,12,5,1,318,250
1,23,3,1,264,495
0,1,2,3,0,640
1,8,2,2,285,375
1,12,2,1,0,180
1,123,3,1,300,125
1,12,3,1,30,400
0,37,30,3,342,40
1,23,2,1,17,280
0,79,1,1,0,54
0,6,3,1,173,110
1,28,31,33,281,200
